1	0	0
1	1	0
1	2	0
1	3	0
1	4	0.0096
1:1msg	4.10241	Client 2 send to Client7
1:1msg	4.10481	Client 7 Recevied 1:1 message from 2
1	5	0.008
1:1msg	5.00241	Client 1 send to Client10
1:1msg	5.00481	Client 10 Recevied 1:1 message from 1
1:1msg	5.20241	Client 3 send to Client7
1:1msg	5.20481	Client 7 Recevied 1:1 message from 3
1:1msg	5.70241	Client 6 send to Client9
1:1msg	5.70481	Client 9 Recevied 1:1 message from 6
1:1msg	5.90241	Client 10 send to Client3
1:1msg	5.90481	Client 3 Recevied 1:1 message from 10
1	6	0.0064
1:1msg	6.00241	Client 7 send to Client6
1:1msg	6.00481	Client 6 Recevied 1:1 message from 7
1:1msg	6.20241	Client 3 send to Client2
1:1msg	6.20481	Client 2 Recevied 1:1 message from 3
1:1msg	6.40241	Client 4 send to Client5
1:1msg	6.40481	Client 5 Recevied 1:1 message from 4
1:1msg	6.90241	Client 10 send to Client7
1:1msg	6.90481	Client 7 Recevied 1:1 message from 10
1	7	0.008
1:1msg	7.30241	Client 11 send to Client6
1:1msg	7.30481	Client 6 Recevied 1:1 message from 11
1:1msg	7.40241	Client 4 send to Client6
1:1msg	7.40481	Client 6 Recevied 1:1 message from 4
1:1msg	7.50241	Client 8 send to Client5
1:1msg	7.50481	Client 5 Recevied 1:1 message from 8
1:1msg	7.80241	Client 9 send to Client7
1:1msg	7.80481	Client 7 Recevied 1:1 message from 9
1	8	0.0064
1:1msg	8.00241	Client 7 send to Client2
room0	8.00241	members: 5 2 9 10 8 6 7 4 1
room0	8.00241	Client1 make new chatting room
room0	8.00481	Client 1 invited
room0	8.00481	Client 5 invited
room0	8.00481	Client 10 invited
room0	8.00481	Client 8 invited
room0	8.00481	Client 6 invited
room0	8.00481	Client 7 invited
room0	8.00481	Client 4 invited
room0	8.0049	Client 9 invited
1:1msg	8.00513	Client 2 Recevied 1:1 message from 7
1:1msg	8.50241	Client 8 send to Client9
1:1msg	8.50481	Client 9 Recevied 1:1 message from 8
1:1msg	8.60241	Client 5 send to Client8
1:1msg	8.60481	Client 8 Recevied 1:1 message from 5
room0	8.80241	Client9 send message
room0	8.80481	Client 9 Received message from 9
room0	8.80481	Client 2 Received message from 9
room0	8.80481	Client 10 Received message from 9
room0	8.80481	Client 8 Received message from 9
room0	8.80481	Client 6 Received message from 9
room0	8.80481	Client 7 Received message from 9
room0	8.80481	Client 4 Received message from 9
room0	8.80481	Client 1 Received message from 9
room0	8.8049	Client 5 Received message from 9
room0	8.90241	Client10 send message
room0	8.90481	Client 10 Received message from 10
room0	8.90481	Client 5 Received message from 10
room0	8.90481	Client 2 Received message from 10
room0	8.90481	Client 9 Received message from 10
room0	8.90481	Client 8 Received message from 10
room0	8.90481	Client 6 Received message from 10
room0	8.90481	Client 7 Received message from 10
room0	8.90481	Client 4 Received message from 10
room0	8.90481	Client 1 Received message from 10
