1	0	0
1	1	0
1	2	0
1	3	0
1	4	0.0096
1:1msg	4.10102	Client 2 send to Client7
1:1msg	4.10204	Client 7 Recevied 1:1 message from 2
1	5	0.008
1:1msg	5.00102	Client 1 send to Client10
1:1msg	5.00204	Client 10 Recevied 1:1 message from 1
1:1msg	5.20102	Client 3 send to Client7
1:1msg	5.20204	Client 7 Recevied 1:1 message from 3
1:1msg	5.70102	Client 6 send to Client9
1:1msg	5.70204	Client 9 Recevied 1:1 message from 6
1:1msg	5.90102	Client 10 send to Client3
1:1msg	5.90204	Client 3 Recevied 1:1 message from 10
1	6	0.0064
1:1msg	6.00102	Client 7 send to Client6
1:1msg	6.00204	Client 6 Recevied 1:1 message from 7
1:1msg	6.20102	Client 3 send to Client2
1:1msg	6.20204	Client 2 Recevied 1:1 message from 3
1:1msg	6.40102	Client 4 send to Client5
1:1msg	6.40204	Client 5 Recevied 1:1 message from 4
1:1msg	6.90102	Client 10 send to Client7
1:1msg	6.90204	Client 7 Recevied 1:1 message from 10
1	7	0.008
1:1msg	7.30102	Client 11 send to Client6
1:1msg	7.30204	Client 6 Recevied 1:1 message from 11
1:1msg	7.40102	Client 4 send to Client6
1:1msg	7.40204	Client 6 Recevied 1:1 message from 4
1:1msg	7.50102	Client 8 send to Client5
1:1msg	7.50204	Client 5 Recevied 1:1 message from 8
1:1msg	7.80102	Client 9 send to Client7
1:1msg	7.80204	Client 7 Recevied 1:1 message from 9
1	8	0.0064
1:1msg	8.00102	Client 7 send to Client2
room0	8.00102	members: 5 2 9 10 8 6 7 4 1
room0	8.00102	Client1 make new chatting room
room0	8.00204	Client 5 invited
room0	8.00204	Client 10 invited
room0	8.00204	Client 8 invited
room0	8.00204	Client 6 invited
room0	8.00204	Client 7 invited
room0	8.00204	Client 4 invited
room0	8.00204	Client 1 invited
1:1msg	8.00206	Client 2 Recevied 1:1 message from 7
room0	8.00318	Client 9 invited
1:1msg	8.50102	Client 8 send to Client9
1:1msg	8.50204	Client 9 Recevied 1:1 message from 8
1:1msg	8.60102	Client 5 send to Client8
1:1msg	8.60204	Client 8 Recevied 1:1 message from 5
room0	8.80102	Client9 send message
room0	8.80204	Client 2 Received message from 9
room0	8.80204	Client 10 Received message from 9
room0	8.80204	Client 8 Received message from 9
room0	8.80204	Client 6 Received message from 9
room0	8.80204	Client 7 Received message from 9
room0	8.80204	Client 4 Received message from 9
room0	8.80204	Client 1 Received message from 9
room0	8.80204	Client 9 Received message from 9
room0	8.80317	Client 5 Received message from 9
room0	8.90102	Client10 send message
room0	8.90204	Client 5 Received message from 10
room0	8.90204	Client 2 Received message from 10
room0	8.90204	Client 9 Received message from 10
room0	8.90204	Client 8 Received message from 10
room0	8.90204	Client 6 Received message from 10
room0	8.90204	Client 7 Received message from 10
room0	8.90204	Client 4 Received message from 10
room0	8.90204	Client 1 Received message from 10
room0	8.90204	Client 10 Received message from 10
