1	0	0
1	1	0
1	2	0
1	3	0
1	4	0.0096
1:1msg	4.10006	Client 2 send to Client7
1:1msg	4.10034	Client 7 Recevied 1:1 message from 2
1	5	0.008
1:1msg	5.00006	Client 1 send to Client10
1:1msg	5.00024	Client 10 Recevied 1:1 message from 1
1:1msg	5.20006	Client 3 send to Client7
1:1msg	5.20052	Client 7 Recevied 1:1 message from 3
1:1msg	5.70006	Client 6 send to Client9
1:1msg	5.70022	Client 9 Recevied 1:1 message from 6
1:1msg	5.90006	Client 10 send to Client3
1:1msg	5.90069	Client 3 Recevied 1:1 message from 10
1	6	0.0064
1:1msg	6.00006	Client 7 send to Client6
1:1msg	6.00031	Client 6 Recevied 1:1 message from 7
1:1msg	6.20006	Client 3 send to Client2
1:1msg	6.20067	Client 2 Recevied 1:1 message from 3
1:1msg	6.40006	Client 4 send to Client5
1:1msg	6.40022	Client 5 Recevied 1:1 message from 4
1:1msg	6.90006	Client 10 send to Client7
1:1msg	6.90022	Client 7 Recevied 1:1 message from 10
1	7	0.008
1:1msg	7.30006	Client 11 send to Client6
1:1msg	7.3003	Client 6 Recevied 1:1 message from 11
1:1msg	7.40006	Client 4 send to Client6
1:1msg	7.40033	Client 6 Recevied 1:1 message from 4
1:1msg	7.50006	Client 8 send to Client5
1:1msg	7.50044	Client 5 Recevied 1:1 message from 8
1:1msg	7.80006	Client 9 send to Client7
1:1msg	7.80032	Client 7 Recevied 1:1 message from 9
1	8	0.0064
room0	8.00051	members: 5 2 9 10 8 6 7 4 1
room0	8.00051	Client1 make new chatting room
room0	8.00103	Client 1 invited
room0	8.00123	Client 5 invited
room0	8.00147	Client 2 invited
room0	8.00173	Client 9 invited
room0	8.00227	Client 10 invited
room0	8.00243	Client 8 invited
room0	8.00271	Client 6 invited
room0	8.0029	Client 7 invited
room0	8.00309	Client 4 invited
1:1msg	8.00335	Client 7 send to Client2
1:1msg	8.00359	Client 2 Recevied 1:1 message from 7
room0	8.10006	Client2 send message
room0	8.10035	Client 2 Received message from 2
room0	8.10063	Client 5 Received message from 2
room0	8.10098	Client 9 Received message from 2
room0	8.10137	Client 10 Received message from 2
room0	8.10155	Client 8 Received message from 2
room0	8.10206	Client 6 Received message from 2
room0	8.1024	Client 7 Received message from 2
room0	8.10278	Client 4 Received message from 2
room0	8.10316	Client 1 Received message from 2
1:1msg	8.40006	Client 4 send to Client9
1:1msg	8.40022	Client 9 Recevied 1:1 message from 4
1:1msg	8.50006	Client 8 send to Client7
1:1msg	8.50029	Client 7 Recevied 1:1 message from 8
room0	8.70006	Client6 send message
room0	8.70024	Client 8 Received message from 6
room0	8.70044	Client 6 Received message from 6
room0	8.7006	Client 5 Received message from 6
room0	8.70079	Client 2 Received message from 6
room0	8.70108	Client 9 Received message from 6
room0	8.70131	Client 10 Received message from 6
room0	8.7016	Client 7 Received message from 6
room0	8.70179	Client 4 Received message from 6
